Id,BIRTHDATE,SSN,FIRST,LAST,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,non-adherence
1d604da9-9a81-4ba9-80c2-de3375d59b40,1989-05-25,999-76-6866,José Eduardo181,Gómez206,white,hispanic,M,Marigot  Saint Andrew Parish  DM,427 Balistreri Way Unit 19,Chicopee,Massachusetts,271227.08,1334.88,1.0
034e9e3b-2def-4559-bb2a-7850888ae060,1983-11-14,999-73-5361,Milo271,Feil794,white,nonhispanic,M,Danvers  Massachusetts  US,422 Farrell Path Unit 69,Somerville,Massachusetts,793946.01,3204.49,0.0
10339b10-3cd1-4ac3-ac13-ec26728cb592,1992-06-02,999-27-3385,Jayson808,Fadel536,white,nonhispanic,M,Springfield  Massachusetts  US,1056 Harris Lane Suite 70,Chicopee,Massachusetts,574111.9,2606.4,0.0
8d4c4326-e9de-4f45-9a4c-f8c36bff89ae,1978-05-27,999-85-4926,Mariana775,Rutherford999,white,nonhispanic,F,Yarmouth  Massachusetts  US,999 Kuhn Forge,Lowell,Massachusetts,935630.3,8756.189999999999,0.0
f5dcd418-09fe-4a2f-baa0-3da800bd8c3a,1996-10-18,999-60-7372,Gregorio366,Auer97,white,nonhispanic,M,Patras  Achaea  GR,1050 Lindgren Extension Apt 38,Boston,Massachusetts,598763.07,3772.2,0.0
72c0b9ce-7aa4-430b-aaff-bd0ce7846e55,2017-07-27,999-68-6630,Jacinto644,Kris249,white,nonhispanic,M,Beverly  Massachusetts  US,888 Hickle Ferry Suite 38,Springfield,Massachusetts,8718.66,1499.08,0.0
b1e9b0b9-da6e-4f68-b603-bd896a50ca86,2003-12-13,999-73-2461,Jimmie93,Harris789,white,nonhispanic,F,Worcester  Massachusetts  US,201 Mitchell Lodge Unit 67,Pembroke,Massachusetts,397548.14,3093.12,1.0
01207ecd-9dff-4754-8887-4652eda231e2,2019-05-15,999-81-4349,Karyn217,Mueller846,white,nonhispanic,F,New Bedford  Massachusetts  US,570 Abshire Forge Suite 32,Colrain,Massachusetts,26400.0,774.9599999999999,
b58731cc-2d8b-4c2d-b327-4cab771af3ef,1970-05-16,999-90-2484,Isabel214,Lucio648,white,hispanic,F,Santiago  Santiago Province  CL,335 Morar Highlands Apt 75,Fall River,Massachusetts,987310.04,14166.009999999997,1.0
cfee79fc-df05-476e-b274-43e09ea345db,2016-07-04,999-15-5895,Alva958,Krajcik437,white,nonhispanic,F,Boston  Massachusetts  US,1048 Skiles Trailer,Walpole,Massachusetts,80155.36,1599.08,0.0
ad2e9916-4979-40fc-a8c0-68651a0cb5a6,2004-12-19,999-78-4480,Jeffrey461,Greenfelder433,white,nonhispanic,M,Plymouth  Massachusetts  US,428 Wiza Glen Unit 91,Springfield,Massachusetts,317164.78,2816.48,0.0
bfb6537b-535a-4f31-9a56-073220f96a17,1991-07-03,999-74-9712,Karyn217,Jast432,white,nonhispanic,F,Belmont  Massachusetts  US,181 Feest Passage Suite 64,Medfield,Massachusetts,700919.16,6196.919999999999,1.0
83719bd7-7a41-4c87-93f9-c5de4db6a14a,1989-06-07,999-24-1237,Leann224,Larson43,white,nonhispanic,F,Fall River  Massachusetts  US,118 Bailey Orchard Suite 34,Needham,Massachusetts,706612.59,8624.599999999999,1.0
76982e06-f8b8-4509-9ca3-65a99c8650fe,1982-09-01,999-21-5604,Christal240,Brown30,white,nonhispanic,F,Bellingham  Massachusetts  US,1060 Hansen Overpass Suite 86,Boston,Massachusetts,779464.29,11713.809999999998,1.0
